TradingSymbol,Name,InstrumentType,TimeStamp,Open,High,Low,Close,Volume
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:15,  4.05 ,  4.05 ,  3.40 ,  3.40 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:16,  3.40 ,  3.80 ,  3.30 ,  3.80 ,""  7,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:17,  3.80 ,  3.85 ,  3.70 ,  3.70 ,""  26,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:18,  3.65 ,  3.65 ,  3.50 ,  3.65 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:19,  3.65 ,  3.70 ,  3.60 ,  3.60 ,""  11,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:20,  3.60 ,  3.60 ,  3.50 ,  3.50 ,""  2,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 09:21,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:22,  3.50 ,  3.50 ,  3.45 ,  3.50 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:23,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:24,  3.50 ,  3.60 ,  3.50 ,  3.60 ,""  5,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:25,  3.60 ,  3.80 ,  3.60 ,  3.80 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:26,  3.80 ,  3.80 ,  3.80 ,  3.80 ,""  7,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:27,  3.80 ,  3.80 ,  3.80 ,  3.80 ,""  7,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:28,  3.80 ,  3.80 ,  3.70 ,  3.70 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:29,  3.70 ,  3.70 ,  3.55 ,  3.55 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:30,  3.55 ,  3.75 ,  3.55 ,  3.60 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:31,  3.60 ,  3.75 ,  3.60 ,  3.70 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:32,  3.70 ,  3.75 ,  3.70 ,  3.75 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:33,  3.75 ,  3.75 ,  3.75 ,  3.75 ,""  2,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 09:34,  3.75 ,  3.75 ,  3.75 ,  3.75 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:35,  3.75 ,  3.75 ,  3.70 ,  3.70 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:36,  3.70 ,  3.70 ,  3.50 ,  3.50 ,""  27,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:37,  3.50 ,  3.65 ,  3.50 ,  3.65 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:38,  3.65 ,  3.65 ,  3.65 ,  3.65 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:39,  3.65 ,  3.65 ,  3.55 ,  3.55 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:40,  3.55 ,  3.55 ,  3.45 ,  3.50 ,""  11,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:41,  3.50 ,  3.50 ,  3.30 ,  3.30 ,""  11,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:42,  3.25 ,  3.30 ,  3.25 ,  3.25 ,""  5,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:43,  3.25 ,  3.30 ,  3.25 ,  3.30 ,""  8,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:44,  3.30 ,  3.35 ,  3.30 ,  3.35 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:45,  3.35 ,  3.35 ,  3.35 ,  3.35 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:46,  3.35 ,  3.35 ,  3.35 ,  3.35 ,""  1,250.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 09:47,  3.35 ,  3.35 ,  3.35 ,  3.35 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:48,  3.35 ,  3.50 ,  3.35 ,  3.35 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:49,  3.35 ,  3.45 ,  3.35 ,  3.35 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:50,  3.35 ,  3.45 ,  3.15 ,  3.15 ,""  5,000.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:51,  3.15 ,  3.15 ,  3.10 ,  3.15 ,""  12,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:52,  3.15 ,  3.35 ,  3.10 ,  3.35 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:53,  3.35 ,  3.40 ,  3.35 ,  3.40 ,""  1,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:54,  3.40 ,  3.45 ,  3.40 ,  3.45 ,""  6,250.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:55,  3.45 ,  3.50 ,  3.45 ,  3.50 ,""  2,500.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:56,  3.50 ,  3.50 ,  3.50 ,  3.50 ,""  2,500.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 09:57,  3.50 ,  3.50 ,  3.50 ,  3.50 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 09:58,  3.45 ,  3.45 ,  3.45 ,  3.45 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 09:59,  3.45 ,  3.45 ,  3.45 ,  3.45 ,  -   
